Protein,Len,WS1,WS2,WS3,WO1,WO2,WO3,LogFldChng-K28-K30vsK31-K33,Zstat-K28-K30vsK31-K33,fdr-K28-K30vsK31-K33,FDRup-K28-K30vsK31-K33,FDRdown-K28-K30vsK31-K33,DEFLINE
symbB1.EST_k37c20_4529|m.10833,454,0,0,0,1,0,0,-0.497,-0.5634,0.545778,0.933555,0.97258,symbB1.EST_k37c20_4529 g.10833  ORF symbB1.EST_k37c20_4529 g.10833 symbB1.EST_k37c20_4529 m.10833 type:complete len:454 (+) symbB1.EST_k37c20_4529:89-1450(+)
symbB1.EST_k37c20_453|m.1019,1177,0,0,0,0,0,0,-0.395,-0.4465,0.538469,1,0.892602,symbB1.EST_k37c20_453 g.1019  ORF symbB1.EST_k37c20_453 g.1019 symbB1.EST_k37c20_453 m.1019 type:complete len:1177 (-) symbB1.EST_k37c20_453:3129-6659(-)
symbB1.EST_k37c20_453|m.1020,985,0,0,0,0,0,0,-0.495,-0.5993,0.562349,0.913516,1,symbB1.EST_k37c20_453 g.1020  ORF symbB1.EST_k37c20_453 g.1020 symbB1.EST_k37c20_453 m.1020 type:complete len:985 (-) symbB1.EST_k37c20_453:350-3304(-)
symbB1.EST_k37c20_4530|m.10835,1086,2,3,6,5,0,0,-0.85,-1.7655,1,0.992361,0.566642,symbB1.EST_k37c20_4530 g.10835  ORF symbB1.EST_k37c20_4530 g.10835 symbB1.EST_k37c20_4530 m.10835 type:complete len:1086 (-) symbB1.EST_k37c20_4530:193-3450(-)
symbB1.EST_k37c20_45462|m.86368,713,1,0,1,0,2,0,-0.153,-0.2004,0.780716,1,0.824993,symbB1.EST_k37c20_45462 g.86368  ORF symbB1.EST_k37c20_45462 g.86368 symbB1.EST_k37c20_45462 m.86368 type:complete len:713 (-) symbB1.EST_k37c20_45462:87-2225(-)
symbB1.EST_k37c20_45473|m.86381,129,0,0,0,0,0,0,-0.417,-0.4758,0.533742,0.996811,0.910652,symbB1.EST_k37c20_45473 g.86381  ORF symbB1.EST_k37c20_45473 g.86381 symbB1.EST_k37c20_45473 m.86381 type:internal len:130 (-) symbB1.EST_k37c20_45473:1-387(-)
symbB1.EST_k37c20_4560|m.10902,412,0,1,0,0,0,0,-0.403,-0.4586,0.535981,1,0.900535,symbB1.EST_k37c20_4560 g.10902  ORF symbB1.EST_k37c20_4560 g.10902 symbB1.EST_k37c20_4560 m.10902 type:5prime_partial len:412 (+) symbB1.EST_k37c20_4560:2-1237(+)
symbB1.EST_k37c20_4585|m.10961,135,14,3,19,17,15,14,-0.107,-0.4626,0.535327,1,0.902175,symbB1.EST_k37c20_4585 g.10961  ORF symbB1.EST_k37c20_4585 g.10961 symbB1.EST_k37c20_4585 m.10961 type:complete len:135 (-) symbB1.EST_k37c20_4585:62-466(-)
symbB1.EST_k37c20_46440|m.87105,143,0,0,0,0,0,0,-0.37,-0.4472,0.538303,1,0.894153,symbB1.EST_k37c20_46440 g.87105  ORF symbB1.EST_k37c20_46440 g.87105 symbB1.EST_k37c20_46440 m.87105 type:3prime_partial len:144 (+) symbB1.EST_k37c20_46440:158-586(+)
symbB1.EST_k37c20_46825|m.87337,173,0,0,0,0,0,0,-0.458,-0.5104,0.5338,0.969727,0.932789,symbB1.EST_k37c20_46825 g.87337  ORF symbB1.EST_k37c20_46825 g.87337 symbB1.EST_k37c20_46825 m.87337 type:5prime_partial len:173 (+) symbB1.EST_k37c20_46825:2-520(+)
symbB1.EST_k37c20_469|m.1095,2136,0,0,3,0,0,0,-1.037,-1.3877,1,0.952812,0.931769,symbB1.EST_k37c20_469 g.1095  ORF symbB1.EST_k37c20_469 g.1095 symbB1.EST_k37c20_469 m.1095 type:complete len:2136 (+) symbB1.EST_k37c20_469:78-6485(+)
symbB1.EST_k37c20_46994|m.87424,146,0,0,0,0,0,0,-0.437,-0.4857,0.533136,0.989737,0.915951,symbB1.EST_k37c20_46994 g.87424  ORF symbB1.EST_k37c20_46994 g.87424 symbB1.EST_k37c20_46994 m.87424 type:complete len:146 (-) symbB1.EST_k37c20_46994:325-762(-)
symbB1.EST_k37c20_47047|m.87468,188,0,0,0,0,0,0,-0.412,-0.4931,0.533011,0.982863,0.92141,symbB1.EST_k37c20_47047 g.87468  ORF symbB1.EST_k37c20_47047 g.87468 symbB1.EST_k37c20_47047 m.87468 type:internal len:189 (+) symbB1.EST_k37c20_47047:1-564(+)
symbB1.EST_k37c20_47102|m.87502,841,0,0,0,0,0,0,-0.493,-0.5478,0.540733,0.944085,0.959442,symbB1.EST_k37c20_47102 g.87502  ORF symbB1.EST_k37c20_47102 g.87502 symbB1.EST_k37c20_47102 m.87502 type:complete len:841 (+) symbB1.EST_k37c20_47102:56-2578(+)
symbB1.EST_k37c20_47206|m.87566,331,0,0,0,0,0,0,-0.425,-0.5095,0.533721,0.969728,0.932789,symbB1.EST_k37c20_47206 g.87566  ORF symbB1.EST_k37c20_47206 g.87566 symbB1.EST_k37c20_47206 m.87566 type:5prime_partial len:331 (+) symbB1.EST_k37c20_47206:3-995(+)
symbB1.EST_k37c20_47208|m.87569,118,0,0,2,0,0,0,-0.751,-0.9141,1,0.867284,1,symbB1.EST_k37c20_47208 g.87569  ORF symbB1.EST_k37c20_47208 g.87569 symbB1.EST_k37c20_47208 m.87569 type:5prime_partial len:118 (-) symbB1.EST_k37c20_47208:102-455(-)
symbB1.EST_k37c20_4729|m.11286,1527,0,0,0,0,0,0,-0.488,-0.5626,0.545487,0.933556,0.972578,symbB1.EST_k37c20_4729 g.11286  ORF symbB1.EST_k37c20_4729 g.11286 symbB1.EST_k37c20_4729 m.11286 type:5prime_partial len:1527 (-) symbB1.EST_k37c20_4729:40-4620(-)
symbB1.EST_k37c20_47335|m.87632,209,0,0,14,29,0,2,0.307,1.0248,1,0.488538,0.9812,symbB1.EST_k37c20_47335 g.87632  ORF symbB1.EST_k37c20_47335 g.87632 symbB1.EST_k37c20_47335 m.87632 type:complete len:209 (+) symbB1.EST_k37c20_47335:96-722(+)
symbB1.EST_k37c20_475|m.1111,752,0,0,1,0,0,0,-0.55,-0.6069,0.566769,0.909422,1,symbB1.EST_k37c20_475 g.1111  ORF symbB1.EST_k37c20_475 g.1111 symbB1.EST_k37c20_475 m.1111 type:5prime_partial len:752 (-) symbB1.EST_k37c20_475:62-2317(-)
symbB1.EST_k37c20_47631|m.87845,639,0,0,7,4,1,0,-0.854,-1.4139,1,0.956713,0.906484,symbB1.EST_k37c20_47631 g.87845  ORF symbB1.EST_k37c20_47631 g.87845 symbB1.EST_k37c20_47631 m.87845 type:5prime_partial len:639 (-) symbB1.EST_k37c20_47631:102-2018(-)
symbB1.EST_k37c20_47633|m.87846,268,0,0,0,0,0,0,-0.521,-0.6097,0.568482,0.9081,1,symbB1.EST_k37c20_47633 g.87846  ORF symbB1.EST_k37c20_47633 g.87846 symbB1.EST_k37c20_47633 m.87846 type:5prime_partial len:268 (+) symbB1.EST_k37c20_47633:2-805(+)
symbB1.EST_k37c20_47646|m.87855,135,0,0,2,3,0,0,-0.191,-0.2691,0.670843,1,0.831386,symbB1.EST_k37c20_47646 g.87855  ORF symbB1.EST_k37c20_47646 g.87855 symbB1.EST_k37c20_47646 m.87855 type:internal len:136 (+) symbB1.EST_k37c20_47646:2-406(+)
symbB1.EST_k37c20_47658|m.87865,140,0,0,0,0,0,0,-0.322,-0.3414,0.593513,1,0.848209,symbB1.EST_k37c20_47658 g.87865  ORF symbB1.EST_k37c20_47658 g.87865 symbB1.EST_k37c20_47658 m.87865 type:internal len:141 (+) symbB1.EST_k37c20_47658:3-422(+)
symbB1.EST_k37c20_47739|m.87984,210,0,0,1,0,0,0,-0.477,-0.5519,0.541938,0.940486,0.963765,symbB1.EST_k37c20_47739 g.87984  ORF symbB1.EST_k37c20_47739 g.87984 symbB1.EST_k37c20_47739 m.87984 type:5prime_partial len:210 (+) symbB1.EST_k37c20_47739:2-631(+)
symbB1.EST_k37c20_4774|m.11339,320,0,0,0,0,0,1,-0.489,-0.5642,0.54607,0.933554,0.972581,symbB1.EST_k37c20_4774 g.11339  ORF symbB1.EST_k37c20_4774 g.11339 symbB1.EST_k37c20_4774 m.11339 type:complete len:320 (+) symbB1.EST_k37c20_4774:389-1348(+)
symbB1.EST_k37c20_47794|m.88048,352,2,1,0,1,0,2,-0.395,-0.5518,0.541907,0.940486,0.963765,symbB1.EST_k37c20_47794 g.88048  ORF symbB1.EST_k37c20_47794 g.88048 symbB1.EST_k37c20_47794 m.88048 type:5prime_partial len:352 (-) symbB1.EST_k37c20_47794:182-1237(-)
symbB1.EST_k37c20_47841|m.88117,513,0,0,0,0,0,0,-0.421,-0.4865,0.533107,0.987423,0.917754,symbB1.EST_k37c20_47841 g.88117  ORF symbB1.EST_k37c20_47841 g.88117 symbB1.EST_k37c20_47841 m.88117 type:5prime_partial len:513 (-) symbB1.EST_k37c20_47841:178-1716(-)
symbB1.EST_k37c20_47961|m.88268,167,0,0,0,0,0,0,-0.526,-0.6016,0.563651,0.91213,1,symbB1.EST_k37c20_47961 g.88268  ORF symbB1.EST_k37c20_47961 g.88268 symbB1.EST_k37c20_47961 m.88268 type:complete len:167 (-) symbB1.EST_k37c20_47961:96-596(-)
symbB1.EST_k37c20_48001|m.88307,156,0,0,2,0,0,0,-0.711,-0.8517,0.920979,0.862819,1,symbB1.EST_k37c20_48001 g.88307  ORF symbB1.EST_k37c20_48001 g.88307 symbB1.EST_k37c20_48001 m.88307 type:5prime_partial len:156 (+) symbB1.EST_k37c20_48001:2-469(+)
symbB1.EST_k37c20_48025|m.88342,199,0,0,0,0,0,0,-0.481,-0.5615,0.545093,0.935252,0.970358,symbB1.EST_k37c20_48025 g.88342  ORF symbB1.EST_k37c20_48025 g.88342 symbB1.EST_k37c20_48025 m.88342 type:complete len:199 (-) symbB1.EST_k37c20_48025:199-795(-)
symbB1.EST_k37c20_48112|m.88444,146,0,0,0,0,0,0,-0.42,-0.4959,0.533036,0.980617,0.923264,symbB1.EST_k37c20_48112 g.88444  ORF symbB1.EST_k37c20_48112 g.88444 symbB1.EST_k37c20_48112 m.88444 type:5prime_partial len:146 (+) symbB1.EST_k37c20_48112:3-440(+)
symbB1.EST_k37c20_48199|m.88569,218,0,0,0,0,0,0,-0.365,-0.4003,0.555059,1,0.870323,symbB1.EST_k37c20_48199 g.88569  ORF symbB1.EST_k37c20_48199 g.88569 symbB1.EST_k37c20_48199 m.88569 type:complete len:218 (-) symbB1.EST_k37c20_48199:126-779(-)
symbB1.EST_k37c20_48254|m.88632,187,0,0,2,0,0,0,-0.73,-0.8718,0.971613,0.863752,1,symbB1.EST_k37c20_48254 g.88632  ORF symbB1.EST_k37c20_48254 g.88632 symbB1.EST_k37c20_48254 m.88632 type:complete len:187 (-) symbB1.EST_k37c20_48254:97-657(-)
symbB1.EST_k37c20_48331|m.88717,252,0,0,0,0,0,0,-0.452,-0.5209,0.535022,0.961426,0.940708,symbB1.EST_k37c20_48331 g.88717  ORF symbB1.EST_k37c20_48331 g.88717 symbB1.EST_k37c20_48331 m.88717 type:complete len:252 (+) symbB1.EST_k37c20_48331:80-835(+)
symbB1.EST_k37c20_48363|m.88764,380,0,0,0,1,0,0,-0.309,-0.329,0.604277,1,0.844097,symbB1.EST_k37c20_48363 g.88764  ORF symbB1.EST_k37c20_48363 g.88764 symbB1.EST_k37c20_48363 m.88764 type:5prime_partial len:380 (-) symbB1.EST_k37c20_48363:216-1355(-)
symbB1.EST_k37c20_48383|m.88794,162,0,0,0,1,0,0,-0.425,-0.5675,0.547312,0.931877,0.974818,symbB1.EST_k37c20_48383 g.88794  ORF symbB1.EST_k37c20_48383 g.88794 symbB1.EST_k37c20_48383 m.88794 type:5prime_partial len:162 (-) symbB1.EST_k37c20_48383:95-580(-)
symbB1.EST_k37c20_48387|m.88800,121,0,0,0,0,0,0,-0.438,-0.5055,0.533419,0.974015,0.928929,symbB1.EST_k37c20_48387 g.88800  ORF symbB1.EST_k37c20_48387 g.88800 symbB1.EST_k37c20_48387 m.88800 type:5prime_partial len:121 (+) symbB1.EST_k37c20_48387:1-363(+)
symbB1.EST_k37c20_4845|m.11546,980,4,2,0,3,4,4,0.088,0.1639,1,1,0.875553,symbB1.EST_k37c20_4845 g.11546  ORF symbB1.EST_k37c20_4845 g.11546 symbB1.EST_k37c20_4845 m.11546 type:3prime_partial len:981 (+) symbB1.EST_k37c20_4845:105-3044(+)
symbB1.EST_k37c20_48494|m.88923,504,0,0,0,0,0,0,-0.405,-0.4393,0.54031,1,0.889559,symbB1.EST_k37c20_48494 g.88923  ORF symbB1.EST_k37c20_48494 g.88923 symbB1.EST_k37c20_48494 m.88923 type:5prime_partial len:504 (+) symbB1.EST_k37c20_48494:2-1513(+)
symbB1.EST_k37c20_48537|m.88971,130,0,0,0,0,0,0,-0.401,-0.4192,0.54689,1,0.879489,symbB1.EST_k37c20_48537 g.88971  ORF symbB1.EST_k37c20_48537 g.88971 symbB1.EST_k37c20_48537 m.88971 type:3prime_partial len:131 (+) symbB1.EST_k37c20_48537:80-469(+)
symbB1.EST_k37c20_4858|m.11588,126,4,0,0,0,0,0,-1.234,-1.6045,1,0.980166,0.716986,symbB1.EST_k37c20_4858 g.11588  ORF symbB1.EST_k37c20_4858 g.11588 symbB1.EST_k37c20_4858 m.11588 type:complete len:126 (+) symbB1.EST_k37c20_4858:106-483(+)
symbB1.EST_k37c20_4867|m.11612,401,11,11,14,11,6,6,-0.819,-2.8479,0.246759,0.987199,0.048146,symbB1.EST_k37c20_4867 g.11612  ORF symbB1.EST_k37c20_4867 g.11612 symbB1.EST_k37c20_4867 m.11612 type:complete len:401 (-) symbB1.EST_k37c20_4867:125-1327(-)
symbB1.EST_k37c20_48730|m.89191,365,0,0,0,0,0,0,-0.454,-0.5351,0.537573,0.951564,0.950963,symbB1.EST_k37c20_48730 g.89191  ORF symbB1.EST_k37c20_48730 g.89191 symbB1.EST_k37c20_48730 m.89191 type:5prime_partial len:365 (+) symbB1.EST_k37c20_48730:2-1096(+)
symbB1.EST_k37c20_48739|m.89204,126,0,0,0,0,0,0,-0.47,-0.5249,0.535635,0.959407,0.942728,symbB1.EST_k37c20_48739 g.89204  ORF symbB1.EST_k37c20_48739 g.89204 symbB1.EST_k37c20_48739 m.89204 type:internal len:127 (-) symbB1.EST_k37c20_48739:2-379(-)
symbB1.EST_k37c20_48740|m.89205,168,0,1,0,0,0,0,-0.325,-0.3445,0.590973,1,0.849082,symbB1.EST_k37c20_48740 g.89205  ORF symbB1.EST_k37c20_48740 g.89205 symbB1.EST_k37c20_48740 m.89205 type:5prime_partial len:168 (-) symbB1.EST_k37c20_48740:144-647(-)
symbB1.EST_k37c20_48819|m.89293,326,0,0,3,0,0,0,-0.95,-1.2027,1,0.919178,1,symbB1.EST_k37c20_48819 g.89293  ORF symbB1.EST_k37c20_48819 g.89293 symbB1.EST_k37c20_48819 m.89293 type:complete len:326 (+) symbB1.EST_k37c20_48819:72-1049(+)
symbB1.EST_k37c20_4883|m.11635,331,0,0,1,0,0,0,-0.452,-0.4905,0.533024,0.985132,0.919573,symbB1.EST_k37c20_4883 g.11635  ORF symbB1.EST_k37c20_4883 g.11635 symbB1.EST_k37c20_4883 m.11635 type:5prime_partial len:331 (+) symbB1.EST_k37c20_4883:3-995(+)
symbB1.EST_k37c20_4887|m.11643,246,0,0,0,0,0,0,-0.471,-0.5734,0.549686,0.926988,0.981597,symbB1.EST_k37c20_4887 g.11643  ORF symbB1.EST_k37c20_4887 g.11643 symbB1.EST_k37c20_4887 m.11643 type:complete len:246 (-) symbB1.EST_k37c20_4887:196-933(-)
symbB1.EST_k37c20_49057|m.89577,547,0,0,0,0,0,0,-0.45,-0.5391,0.538477,0.949659,0.953061,symbB1.EST_k37c20_49057 g.89577  ORF symbB1.EST_k37c20_49057 g.89577 symbB1.EST_k37c20_49057 m.89577 type:5prime_partial len:547 (+) symbB1.EST_k37c20_49057:1-1641(+)
symbB1.EST_k37c20_4917|m.11727,811,0,0,0,0,0,0,-0.464,-0.5195,0.534824,0.963466,0.938704,symbB1.EST_k37c20_4917 g.11727  ORF symbB1.EST_k37c20_4917 g.11727 symbB1.EST_k37c20_4917 m.11727 type:complete len:811 (-) symbB1.EST_k37c20_4917:158-2590(-)
symbB1.EST_k37c20_49214|m.89760,286,0,0,0,0,2,0,-0.128,-0.1552,0.875317,1,0.824834,symbB1.EST_k37c20_49214 g.89760  ORF symbB1.EST_k37c20_49214 g.89760 symbB1.EST_k37c20_49214 m.89760 type:5prime_partial len:286 (+) symbB1.EST_k37c20_49214:3-860(+)
symbB1.EST_k37c20_4961|m.11850,169,0,0,0,0,0,0,-0.368,-0.4105,0.550405,1,0.875451,symbB1.EST_k37c20_4961 g.11850  ORF symbB1.EST_k37c20_4961 g.11850 symbB1.EST_k37c20_4961 m.11850 type:5prime_partial len:169 (-) symbB1.EST_k37c20_4961:252-758(-)
symbB1.EST_k37c20_4962|m.11852,526,0,0,4,0,0,0,-1.208,-1.5697,1,0.976786,0.749747,symbB1.EST_k37c20_4962 g.11852  ORF symbB1.EST_k37c20_4962 g.11852 symbB1.EST_k37c20_4962 m.11852 type:5prime_partial len:526 (+) symbB1.EST_k37c20_4962:1-1578(+)
symbB1.EST_k37c20_4966|m.11866,153,0,0,0,0,0,0,-0.44,-0.4939,0.533013,0.982863,0.92141,symbB1.EST_k37c20_4966 g.11866  ORF symbB1.EST_k37c20_4966 g.11866 symbB1.EST_k37c20_4966 m.11866 type:5prime_partial len:153 (+) symbB1.EST_k37c20_4966:2-460(+)
symbB1.EST_k37c20_4968|m.11868,359,0,0,0,0,0,0,-0.354,-0.3935,0.558473,1,0.866671,symbB1.EST_k37c20_4968 g.11868  ORF symbB1.EST_k37c20_4968 g.11868 symbB1.EST_k37c20_4968 m.11868 type:internal len:360 (+) symbB1.EST_k37c20_4968:2-1078(+)
symbB1.EST_k37c20_5086|m.12156,4562,0,0,0,1,0,0,-0.475,-0.5579,0.543854,0.936975,0.968146,symbB1.EST_k37c20_5086 g.12156  ORF symbB1.EST_k37c20_5086 g.12156 symbB1.EST_k37c20_5086 m.12156 type:complete len:4562 (+) symbB1.EST_k37c20_5086:167-13852(+)
symbB1.EST_k37c20_5116|m.12234,365,0,0,0,0,0,0,-0.347,-0.3864,0.562321,1,0.864331,symbB1.EST_k37c20_5116 g.12234  ORF symbB1.EST_k37c20_5116 g.12234 symbB1.EST_k37c20_5116 m.12234 type:complete len:365 (-) symbB1.EST_k37c20_5116:140-1234(-)
symbB1.EST_k37c20_51501|m.92047,254,0,0,0,0,0,0,-0.355,-0.421,0.546215,1,0.879486,symbB1.EST_k37c20_51501 g.92047  ORF symbB1.EST_k37c20_51501 g.92047 symbB1.EST_k37c20_51501 m.92047 type:5prime_partial len:254 (+) symbB1.EST_k37c20_51501:3-764(+)
symbB1.EST_k37c20_51549|m.92078,253,0,0,0,0,0,0,-0.408,-0.4886,0.533052,0.987423,0.917753,symbB1.EST_k37c20_51549 g.92078  ORF symbB1.EST_k37c20_51549 g.92078 symbB1.EST_k37c20_51549 m.92078 type:5prime_partial len:253 (-) symbB1.EST_k37c20_51549:129-887(-)
symbB1.EST_k37c20_51745|m.92258,182,0,0,0,0,0,0,-0.446,-0.5005,0.533159,0.976193,0.927023,symbB1.EST_k37c20_51745 g.92258  ORF symbB1.EST_k37c20_51745 g.92258 symbB1.EST_k37c20_51745 m.92258 type:complete len:182 (+) symbB1.EST_k37c20_51745:38-583(+)
symbB1.EST_k37c20_51810|m.92310,177,2,0,11,9,4,1,-0.386,-1.0166,1,0.88253,1,symbB1.EST_k37c20_51810 g.92310  ORF symbB1.EST_k37c20_51810 g.92310 symbB1.EST_k37c20_51810 m.92310 type:5prime_partial len:177 (-) symbB1.EST_k37c20_51810:104-634(-)
symbB1.EST_k37c20_521|m.1204,664,0,0,8,0,0,0,-1.693,-2.3749,0.647822,0.997473,0.175421,symbB1.EST_k37c20_521 g.1204  ORF symbB1.EST_k37c20_521 g.1204 symbB1.EST_k37c20_521 m.1204 type:5prime_partial len:664 (+) symbB1.EST_k37c20_521:2-1993(+)
symbB1.EST_k37c20_5213|m.12433,322,0,2,0,7,0,0,0.509,0.786,1,0.726683,0.969053,symbB1.EST_k37c20_5213 g.12433  ORF symbB1.EST_k37c20_5213 g.12433 symbB1.EST_k37c20_5213 m.12433 type:5prime_partial len:322 (-) symbB1.EST_k37c20_5213:62-1027(-)
symbB1.EST_k37c20_5221|m.12447,319,11,12,21,0,0,0,-3.26,-4.9923,0.000024,0.957851,0.000002,symbB1.EST_k37c20_5221 g.12447  ORF symbB1.EST_k37c20_5221 g.12447 symbB1.EST_k37c20_5221 m.12447 type:3prime_partial len:320 (+) symbB1.EST_k37c20_5221:89-1045(+)
symbB1.EST_k37c20_52225|m.92643,160,0,0,0,0,0,0,-0.408,-0.4539,0.53686,1,0.897306,symbB1.EST_k37c20_52225 g.92643  ORF symbB1.EST_k37c20_52225 g.92643 symbB1.EST_k37c20_52225 m.92643 type:internal len:161 (-) symbB1.EST_k37c20_52225:3-482(-)
symbB1.EST_k37c20_5230|m.12466,323,0,0,0,0,0,0,-0.39,-0.4346,0.541659,1,0.886588,symbB1.EST_k37c20_5230 g.12466  ORF symbB1.EST_k37c20_5230 g.12466 symbB1.EST_k37c20_5230 m.12466 type:internal len:324 (-) symbB1.EST_k37c20_5230:1-969(-)
symbB1.EST_k37c20_52688|m.92998,111,0,0,0,0,0,0,-0.425,-0.48,0.533424,0.994431,0.9124,symbB1.EST_k37c20_52688 g.92998  ORF symbB1.EST_k37c20_52688 g.92998 symbB1.EST_k37c20_52688 m.92998 type:5prime_partial len:111 (-) symbB1.EST_k37c20_52688:43-375(-)
symbB1.EST_k37c20_5312|m.12672,147,0,0,0,0,0,0,-0.393,-0.443,0.539332,1,0.891071,symbB1.EST_k37c20_5312 g.12672  ORF symbB1.EST_k37c20_5312 g.12672 symbB1.EST_k37c20_5312 m.12672 type:internal len:148 (+) symbB1.EST_k37c20_5312:1-441(+)
symbB1.EST_k37c20_534|m.1227,498,1,2,8,0,1,0,-1.868,-2.7226,0.337076,0.990022,0.069917,symbB1.EST_k37c20_534 g.1227  ORF symbB1.EST_k37c20_534 g.1227 symbB1.EST_k37c20_534 m.1227 type:5prime_partial len:498 (+) symbB1.EST_k37c20_534:3-1496(+)
symbB1.EST_k37c20_53724|m.93612,480,0,0,0,0,0,1,-0.428,-0.5041,0.533336,0.974015,0.928928,symbB1.EST_k37c20_53724 g.93612  ORF symbB1.EST_k37c20_53724 g.93612 symbB1.EST_k37c20_53724 m.93612 type:complete len:480 (-) symbB1.EST_k37c20_53724:146-1585(-)
symbB1.EST_k37c20_5416|m.12938,236,0,0,0,0,0,0,-0.4,-0.4666,0.534747,1,0.905513,symbB1.EST_k37c20_5416 g.12938  ORF symbB1.EST_k37c20_5416 g.12938 symbB1.EST_k37c20_5416 m.12938 type:complete len:236 (-) symbB1.EST_k37c20_5416:622-1329(-)
symbB1.EST_k37c20_54185|m.93859,305,0,0,0,0,0,0,-0.477,-0.5557,0.543128,0.938717,0.96595,symbB1.EST_k37c20_54185 g.93859  ORF symbB1.EST_k37c20_54185 g.93859 symbB1.EST_k37c20_54185 m.93859 type:complete len:305 (-) symbB1.EST_k37c20_54185:69-983(-)
symbB1.EST_k37c20_54809|m.94121,211,0,1,8,0,2,0,-1.386,-2.2015,0.850701,1,0.257845,symbB1.EST_k37c20_54809 g.94121  ORF symbB1.EST_k37c20_54809 g.94121 symbB1.EST_k37c20_54809 m.94121 type:5prime_partial len:211 (+) symbB1.EST_k37c20_54809:1-633(+)
symbB1.EST_k37c20_5521|m.13209,714,0,0,0,0,0,0,-0.353,-0.4026,0.553959,1,0.871578,symbB1.EST_k37c20_5521 g.13209  ORF symbB1.EST_k37c20_5521 g.13209 symbB1.EST_k37c20_5521 m.13209 type:internal len:715 (+) symbB1.EST_k37c20_5521:3-2144(+)
symbB1.EST_k37c20_55677|m.94421,130,1,0,7,2,1,1,-1.317,-2.0683,1,1,0.337363,symbB1.EST_k37c20_55677 g.94421  ORF symbB1.EST_k37c20_55677 g.94421 symbB1.EST_k37c20_55677 m.94421 type:internal len:131 (+) symbB1.EST_k37c20_55677:3-392(+)
symbB1.EST_k37c20_55680|m.94424,466,0,4,2,0,1,0,-1.374,-1.7874,1,0.99341,0.549568,symbB1.EST_k37c20_55680 g.94424  ORF symbB1.EST_k37c20_55680 g.94424 symbB1.EST_k37c20_55680 m.94424 type:internal len:467 (+) symbB1.EST_k37c20_55680:1-1398(+)
symbB1.EST_k37c20_55829|m.94546,136,0,0,0,0,0,0,-0.402,-0.456,0.536453,1,0.898912,symbB1.EST_k37c20_55829 g.94546  ORF symbB1.EST_k37c20_55829 g.94546 symbB1.EST_k37c20_55829 m.94546 type:complete len:136 (-) symbB1.EST_k37c20_55829:77-484(-)
symbB1.EST_k37c20_5584|m.13332,377,0,0,0,0,0,0,-0.456,-0.5313,0.536785,0.953491,0.94888,symbB1.EST_k37c20_5584 g.13332  ORF symbB1.EST_k37c20_5584 g.13332 symbB1.EST_k37c20_5584 m.13332 type:complete len:377 (+) symbB1.EST_k37c20_5584:420-1550(+)
symbB1.EST_k37c20_55936|m.94644,200,0,0,0,0,0,0,-0.529,-0.5858,0.55529,0.920778,0.990811,symbB1.EST_k37c20_55936 g.94644  ORF symbB1.EST_k37c20_55936 g.94644 symbB1.EST_k37c20_55936 m.94644 type:5prime_partial len:200 (-) symbB1.EST_k37c20_55936:60-659(-)
symbB1.EST_k37c20_5636|m.13449,465,1,2,3,5,1,0,-0.302,-0.5498,0.541311,0.942274,0.961597,symbB1.EST_k37c20_5636 g.13449  ORF symbB1.EST_k37c20_5636 g.13449 symbB1.EST_k37c20_5636 m.13449 type:complete len:465 (-) symbB1.EST_k37c20_5636:296-1690(-)
symbB1.EST_k37c20_5665|m.13503,196,0,0,0,0,0,0,-0.387,-0.4482,0.538076,1,0.894152,symbB1.EST_k37c20_5665 g.13503  ORF symbB1.EST_k37c20_5665 g.13503 symbB1.EST_k37c20_5665 m.13503 type:3prime_partial len:197 (-) symbB1.EST_k37c20_5665:2-589(-)
symbB1.EST_k37c20_56696|m.95177,333,4,5,3,3,3,5,-0.504,-1.2106,1,0.920858,1,symbB1.EST_k37c20_56696 g.95177  ORF symbB1.EST_k37c20_56696 g.95177 symbB1.EST_k37c20_56696 m.95177 type:5prime_partial len:333 (+) symbB1.EST_k37c20_56696:3-1001(+)
symbB1.EST_k37c20_5670|m.13524,159,0,0,0,0,0,0,-0.476,-0.575,0.550365,0.926986,0.981602,symbB1.EST_k37c20_5670 g.13524  ORF symbB1.EST_k37c20_5670 g.13524 symbB1.EST_k37c20_5670 m.13524 type:complete len:159 (-) symbB1.EST_k37c20_5670:134-610(-)
symbB1.EST_k37c20_57176|m.95446,360,0,0,2,2,0,0,-0.384,-0.5569,0.54352,0.936976,0.968144,symbB1.EST_k37c20_57176 g.95446  ORF symbB1.EST_k37c20_57176 g.95446 symbB1.EST_k37c20_57176 m.95446 type:5prime_partial len:360 (+) symbB1.EST_k37c20_57176:1-1080(+)
symbB1.EST_k37c20_57609|m.95663,175,0,0,0,0,0,0,-0.517,-0.6011,0.563364,0.913512,1,symbB1.EST_k37c20_57609 g.95663  ORF symbB1.EST_k37c20_57609 g.95663 symbB1.EST_k37c20_57609 m.95663 type:5prime_partial len:175 (+) symbB1.EST_k37c20_57609:3-527(+)
symbB1.EST_k37c20_5771|m.13757,265,15,3,21,12,9,5,-0.794,-3.1728,0.095587,0.980042,0.016173,symbB1.EST_k37c20_5771 g.13757  ORF symbB1.EST_k37c20_5771 g.13757 symbB1.EST_k37c20_5771 m.13757 type:complete len:265 (-) symbB1.EST_k37c20_5771:52-846(-)
